Sl. No.,State/UTs,2012-13,2013-14,2015-16
1,Andhra Pradesh,2.3,2.9,3.5
2,Arunachal Pradesh,10.2,6.7,3.9
3,Assam,4.3,2.9,4
4,Bihar,5.8,5.6,4.4
5,Chhattisgarh,1.3,2.1,1.2
6,Delhi,5.3,4.4,3.1
7,Goa,9.9,9.6,9
8,Gujarat,2.3,0.8,0.6
9,Haryana,4.3,2.9,3.3
10,Himachal Pradesh,2.8,1.8,10.2
11,Jammu & Kashmir,8.2,8.2,6.6
12,Jharkhand,5.9,1.8,2.2
13,Karnataka,1.8,1.7,1.4
14,Kerala,9.6,9.3,10.6
15,Madhya Pradesh,1.8,2.3,3
16,Maharashtra,3.2,2.2,1.5
17,Manipur,2.2,3.4,3.4
18,Meghalaya,3.5,2.6,4
19,Mizoram,2.2,2,1.5
20,Nagaland,6.2,6.7,5.6
21,Odisha,5.1,4.3,3.8
22,Punjab,4.7,5.4,5.8
23,Rajasthan,2.3,3.1,2.5
24,Sikkim,12.2,7.1,8.9
25,Tamil Nadu,3.6,3.3,3.8
26,Telangana,0,3.1,2.7
27,Tripura,8.4,6.2,10
28,Uttarakhand,4.5,5.5,6.1
29,Uttar Pradesh,4.9,4,5.8
30,West Bengal,5.9,4.2,3.6
31,A & N Islands,9.8,13,12
32,Chandigarh,5.6,2.8,3.4
33,Dadra & Nagar Haveli,1.2,4.6,2.7
34,Daman & Diu,1.2,6.6,0.3
35,Lakshadweep,10.2,10.5,4.3
36,Puducherry,10.1,8.8,4.8
All India,All India,4,3.4,3.7
